ID, Kraj, Dez, Sneg 
58, Radovljica 4240, LESCE PLANINA_POD_GOLICO, VOGEL KREDARICA PLANINA_POD_GOLICO
73, Zgornje Jezersko 4206, ZGORNJE_JEZERSKO, ZGORNJE_JEZERSKO
117, Bovec 5230, ŽAGA LOG_POD_MANGARTOM, KREDARICA RATEÈE
123, Naklo 4202, KRANJ, VOGEL KREDARICA PLANINA_POD_GOLICO
129, Jesenice 4270, PLANINA_POD_GOLICO, KREDARICA RATEÈE
159, Zgornje Gorje 4247, BLED, KREDARICA
173, Zgornje Jezersko 4206, ZGORNJE_JEZERSKO, ZGORNJE_JEZERSKO
179, Zgornje Gorje 4247, BLED, KREDARICA
184, Bohinjska Bistrica 4264, BOHINJSKA_BISTRICA BOHINJSKA_ÈEŠNJICA, VOGEL KREDARICA
215, Podbrdo 5243,ZGORNJA_SORICA PODBRDO, ZGORNJA_SORICA
218, Podbrdo 5243,ZGORNJA_SORICA PODBRDO, ZGORNJA_SORICA
235, Podbrdo 5243,ZGORNJA_SORICA PODBRDO, ZGORNJA_SORICA
244, Miren 5291, BILJE, RATEÈE KREDARICA
250, Cerkno 5282, CERKNO, VOJSKO
264, Železniki 4228, ŽELEZNIKI, MARTINJ_VRH DRAŽGOŠE
459, Pernica 2231, MARIBOR-TABOR SV_DUH_NA_OSTREM_VRHU, SV_DUH_NA_OSTREM_VRHU
